               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.04596,            0.023538,            0.019001,             0.43953,             0.48099,             0.40461,             0.26473,            0.026278,             0.01335,            0.025052,            0.002872,            0.002872,            0.002872
                  38,            0.049183,            0.028283,            0.024658,             0.46459,             0.45534,             0.42077,             0.28393,            0.025002,            0.013311,            0.025031,            0.002674,            0.002674,            0.002674
                  39,            0.044688,            0.024959,            0.019835,             0.46692,             0.47495,             0.46343,             0.27756,            0.024932,            0.012975,            0.025041,            0.002476,            0.002476,            0.002476
                  40,            0.045662,            0.023026,            0.020135,             0.48491,             0.52649,             0.45785,             0.28627,            0.025025,            0.012899,            0.024962,            0.002278,            0.002278,            0.002278
                  41,            0.043051,            0.021121,            0.023311,             0.47414,             0.49237,              0.4594,             0.29076,            0.024359,            0.012772,            0.024834,             0.00208,             0.00208,             0.00208
                  42,            0.044101,            0.024694,            0.025131,             0.48192,             0.49237,             0.43618,             0.27557,             0.02422,            0.012685,            0.024963,            0.001882,            0.001882,            0.001882
                  43,             0.04173,            0.024035,             0.02314,             0.46505,             0.45434,             0.43008,             0.27297,            0.023557,             0.01265,              0.0254,            0.001684,            0.001684,            0.001684
                  44,            0.039471,            0.024857,            0.020935,             0.43468,             0.45364,              0.4303,              0.2784,            0.023666,            0.012808,            0.025696,            0.001486,            0.001486,            0.001486
                  45,            0.038446,             0.02166,            0.020284,             0.43433,             0.43573,             0.42463,             0.28509,            0.023472,            0.012924,            0.025776,            0.001288,            0.001288,            0.001288
                  46,            0.041011,            0.023228,             0.01942,             0.43523,             0.43573,             0.40694,             0.27407,            0.023441,            0.013025,            0.025789,             0.00109,             0.00109,             0.00109
                  47,             0.04016,            0.023325,            0.022148,             0.45032,             0.39714,             0.41765,             0.28085,             0.02294,             0.01315,            0.025741,            0.000892,            0.000892,            0.000892
                  48,            0.042222,            0.023242,            0.020219,             0.42196,             0.35876,               0.419,             0.28537,            0.022687,            0.013142,            0.025546,            0.000694,            0.000694,            0.000694
                  49,            0.041969,            0.024304,            0.017767,             0.43794,             0.34205,             0.42216,             0.28683,             0.02266,            0.013116,            0.025569,            0.000496,            0.000496,            0.000496
